year,i,j,a,z_ij,x_j
1981,1,1,0.13720490079654,3018631.05692584,22000898.2142857
1981,2,1,0.000872327026273811,19191.9781146207,4444575.40620624
1981,3,1,0.0367801080166814,809195.412785442,9593026.73531445
1981,4,1,0.00262233213319629,57693.6623465023,12450877.7462217
1981,5,1,0.00224730675220998,49442.7671116489,4094154.41931601
1981,6,1,0.0676758342634865,1488929.14119784,9608733.20201284
1981,7,1,0.000513331738771569,11293.7593348756,2891945.56482779
1981,8,1,0.00178912151291425,39362.2802986154,6231898.63202617
1981,9,1,0.0028215500373345,62076.6351779105,8893054.82486897
1981,10,1,0.00138260075498778,30418.4584814808,1601125.51105956
1981,11,1,0.00431378212665043,94907.0814870413,2288306.75298875
1981,12,1,0,0,7903895.64673534
1981,13,1,0.0124725435008586,274407.160035641,6976294.78436172
1981,14,1,0.0103984917006169,228776.157487367,3385716.80819499
1981,15,1,0.000121355301875025,2669.92564431635,196035.25523305
1981,16,1,0.00219962390632252,48393.7016727114,2988245.52770777
1981,17,1,0.000169071835552533,3719.73224489374,212014.853719656
1981,18,1,0.0076264751695474,167789.30393899,9960437.87247339
1981,1,2,0.0176277019234984,78347.6504371156,22000898.2142857
1981,2,2,0.0429531538103367,190908.531044416,4444575.40620624
1981,3,2,0.00128217085554509,5698.70505111012,9593026.73531445
1981,4,2,0.018616867015696,82744.0692785746,12450877.7462217
1981,5,2,0.0110323716103267,49034.207531386,4094154.41931601
1981,6,2,0.0693807278854038,308367.876824154,9608733.20201284
1981,7,2,0.0154056376238171,68471.518099743,2891945.56482779
1981,8,2,0.0475012420335501,211122.852106567,6231898.63202617
1981,9,2,0.0792273680565652,352132.01156266,8893054.82486897
1981,10,2,0.00427169965857212,18985.8912451892,1601125.51105956
1981,11,2,0.0551240374735228,245002.941245611,2288306.75298875
1981,12,2,0,0,7903895.64673534
1981,13,2,0.0327529708706309,145573.048811796,6976294.78436172
1981,14,2,0.00907410081719083,40330.5253255223,3385716.80819499
1981,15,2,0.000127966806684332,568.758121799932,196035.25523305
1981,16,2,0.00294839183915595,13104.3498561717,2988245.52770777
1981,17,2,7.50893278787922e-05,333.740179958637,212014.853719656
1981,18,2,0.00794122956369902,35295.3936138546,9960437.87247339
1981,1,3,0.484947924614063,4652118.40605796,22000898.2142857
1981,2,3,0.00356379901240828,34187.6192053199,4444575.40620624
1981,3,3,0.139568239398227,1338881.85194796,9593026.73531445
1981,4,3,0.00350285594770875,33602.9907563252,12450877.7462217
1981,5,3,0.0164454602301772,157761.73966264,4094154.41931601
1981,6,3,0.015381896042736,147558.939977794,9608733.20201284
1981,7,3,0.00836716713226258,80266.4579986393,2891945.56482779
1981,8,3,0.00518346595015341,49725.1274414138,6231898.63202617
1981,9,3,0.0025046734755046,24027.3996137486,8893054.82486897
1981,10,3,0.000697552070529257,6691.63566186111,1601125.51105956
1981,11,3,0.00507215707344853,48657.3384113061,2288306.75298875
1981,12,3,0,0,7903895.64673534
1981,13,3,0.0643418357660294,617232.950702731,6976294.78436172
1981,14,3,0.042979820060667,412306.562920983,3385716.80819499
1981,15,3,0.000489478884626495,4695.58402659386,196035.25523305
1981,16,3,0.00459440741686281,44074.2731828919,2988245.52770777
1981,17,3,3.2570761841233e-05,312.452189132508,212014.853719656
1981,18,3,0.00535171893187735,51339.1827933879,9960437.87247339
1981,1,4,0.136996201363363,1705722.954872,22000898.2142857
1981,2,4,0.00175396704030614,21838.4291897541,4444575.40620624
1981,3,4,0.00796875097562723,99217.9441876195,9593026.73531445
1981,4,4,0.391082043434384,4869314.71154408,12450877.7462217
1981,5,4,0.00398462986957512,49612.1393700231,4094154.41931601
1981,6,4,0.0675564237436175,841136.77300373,9608733.20201284
1981,7,4,0.00042168832996882,5250.38984345017,2891945.56482779
1981,8,4,0.00300222599068533,37380.3487765523,6231898.63202617
1981,9,4,0.00448382188052402,55827.5180702384,8893054.82486897
1981,10,4,0.00332750888530077,41430.4063303463,1601125.51105956
1981,11,4,0.00576813500917144,71818.343822895,2288306.75298875
1981,12,4,0,0,7903895.64673534
1981,13,4,0.0770823338583331,959742.715263551,6976294.78436172
1981,14,4,0.0110161204385531,137160.368818079,3385716.80819499
1981,15,4,0.000161423524235882,2009.86456562522,196035.25523305
1981,16,4,0.00585144993918892,72855.6878309776,2988245.52770777
1981,17,4,2.88229845131712e-05,358.871456454736,212014.853719656
1981,18,4,0.00282052801233082,35118.0494613247,9960437.87247339
1981,1,5,0.0794096709003487,325115.455053092,22000898.2142857
1981,2,5,0.0337307574841053,138098.929820426,4444575.40620624
1981,3,5,0.00233090480338902,9543.08420180006,9593026.73531445
1981,4,5,0.0921215714736395,377159.938963137,12450877.7462217
