year,i,j,a,a_hat,c_ij,model
1981,1,1,0.137204901,0.140539666,38,1
1982,1,1,0.137983659,0.140726772,38,1
1983,1,1,0.143766818,0.141236636,38,1
1984,1,1,0.139803297,0.142049089,38,1
1985,1,1,0.139713005,0.143135551,38,1
1986,1,1,0.146611031,0.144459813,38,1
1987,1,1,0.142682059,0.145979025,38,1
1988,1,1,0.162660621,0.147644862,38,1
1989,1,1,0.161851564,0.149404847,38,1
1990,1,1,0.181219153,0.151203777,38,1
1991,1,1,0.137202587,0.152985232,38,1
1992,1,1,0.134408221,0.154693115,38,1
1993,1,1,0.134270719,0.156273178,38,1
1994,1,1,0.143008512,0.157674507,38,1
1995,1,1,0.170706067,0.158850906,38,1
1996,1,1,0.169772281,0.159762161,38,1
1997,1,1,0.161496402,0.160375132,38,1
1998,1,1,0.158004191,0.160664665,38,1
1999,1,1,0.158671766,0.160614269,38,1
2000,1,1,0.151323337,0.160216572,38,1
2001,1,1,0.15455993,0.15947352,38,1
2002,1,1,0.162242215,0.158396324,38,1
2003,1,1,0.172956186,0.157005154,38,1
2004,1,1,0.176946801,0.15532859,38,1
2005,1,1,0.156815047,0.15340284,38,1
2006,1,1,0.147175158,0.151270756,38,1
2007,1,1,0.140657283,0.148980661,38,1
2008,1,1,0.146077955,0.146585033,38,1
2009,1,1,0.139248911,0.144139075,38,1
2010,1,1,0.133010337,0.141699207,38,1
2011,1,1,0.137500541,0.139321526,38,1
2012,1,1,0.137780974,0.137060279,38,1
2013,1,1,0.133178395,0.134966381,38,1
2014,1,1,0.131398312,0.133086028,38,1
2015,1,1,0.129836423,0.131459435,38,1
2016,1,1,0.136861907,0.130119739,38,1
2017,1,1,0.133338643,0.129092097,38,1
2018,1,1,0.126324212,0.128392999,38,1
1981,1,2,0.017627702,0.018043339,38,1
1982,1,2,0.019791149,0.018489235,38,1
1983,1,2,0.020592061,0.018727725,38,1
1984,1,2,0.016887934,0.018762583,38,1
1985,1,2,0.01639624,0.0186017,38,1
1986,1,2,0.014147617,0.018256867,38,1
1987,1,2,0.015318814,0.017743455,38,1
1988,1,2,0.0193275,0.017079997,38,1
1989,1,2,0.017585298,0.016287678,38,1
1990,1,2,0.033889896,0.015389762,38,1
1991,1,2,0.01023202,0.014410953,38,1
1992,1,2,0.00846956,0.013376726,38,1
1993,1,2,0.007126104,0.012312628,38,1
1994,1,2,0.00892939,0.011243583,38,1
1995,1,2,0.012171972,0.010193212,38,1
1996,1,2,0.009164448,0.009183189,38,1
1997,1,2,0.009654352,0.008232648,38,1
1998,1,2,0.005785201,0.007357664,38,1
1999,1,2,0.00634779,0.006570811,38,1
2000,1,2,0.004978701,0.005880823,38,1
2001,1,2,0.00472832,0.005292351,38,1
2002,1,2,0.003876669,0.004805842,38,1
2003,1,2,0.003223696,0.004417522,38,1
2004,1,2,0.006399028,0.004119499,38,1
2005,1,2,0.005834338,0.003899983,38,1
2006,1,2,0.004943898,0.003743602,38,1
2007,1,2,0.002677341,0.003631825,38,1
2008,1,2,0.004972014,0.003543465,38,1
2009,1,2,0.006047649,0.003455259,38,1
2010,1,2,0.003339953,0.003342502,38,1
2011,1,2,0.003511666,0.003179721,38,1
2012,1,2,0.000466491,0.002941366,38,1
2013,1,2,0.000659573,0.002602516,38,1
2014,1,2,0.000714499,0.002139548,38,1
2015,1,2,0.000568164,0.001530789,38,1
2016,1,2,0.000728682,0.000757104,38,1
2017,1,2,0.000456814,-0.000197581,38,1
2018,1,2,0.000431505,-0.00134584,38,1
1981,1,3,0.484947925,0.485971485,38,1
1982,1,3,0.484292369,0.480261658,38,1
1983,1,3,0.493506113,0.47452669,38,1
1984,1,3,0.485295383,0.468777674,38,1
1985,1,3,0.465104612,0.463029009,38,1
1986,1,3,0.432156692,0.457298,38,1
1987,1,3,0.423106875,0.451604394,38,1
