year,i,j,c_ij,a,a_hat,p_i,p_ij,lambda_i,ue_i,ue_ij,r
1981,1,1,38,0.137204901,0.140539666,0.590195303,0.604540001,0.774221654,0.762307925,0.780835821,0.269957362
1981,1,2,38,0.017627702,0.018043339,0.590195303,0.604111309,0.774221654,0.762307925,0.780282113,0.269957362
1981,1,3,38,0.484947925,0.485971485,0.590195303,0.591441004,0.774221654,0.762307925,0.763916897,0.269957362
1981,1,4,38,0.136996201,0.143890361,0.590195303,0.619896133,0.774221654,0.762307925,0.800670104,0.269957362
1981,1,5,19,0.079409671,0.078803579,0.590195303,0.585690654,0.774221654,0.762307925,0.756489632,0.269957362
1981,1,6,38,0.052995524,0.05387986,0.590195303,0.60004389,0.774221654,0.762307925,0.775028555,0.269957362
1981,1,7,38,0.008634421,0.008867774,0.590195303,0.606145868,0.774221654,0.762307925,0.782909991,0.269957362
1981,1,8,38,0.001458866,0.001559484,0.590195303,0.630901228,0.774221654,0.762307925,0.814884503,0.269957362
1981,1,9,38,0.002006635,0.002162303,0.590195303,0.635980624,0.774221654,0.762307925,0.821445151,0.269957362
1981,1,10,38,0.010938711,0.004757629,0.590195303,0.256696623,0.774221654,0.762307925,0.331554435,0.269957362
1981,1,11,38,0.000238967,0.000254857,0.590195303,0.629440792,0.774221654,0.762307925,0.812998174,0.269957362
1981,1,12,38,0.005442887,0.018783851,0.590195303,2.036812688,0.774221654,0.762307925,2.630787549,0.269957362
1981,1,13,19,0.0347727,0.028710961,0.590195303,0.487309715,0.774221654,0.762307925,0.629418865,0.269957362
1981,1,14,38,7.79E-05,-0.002057401,0.590195303,-15.59738947,0.774221654,0.762307925,-20.1458967,0.269957362
1981,1,15,38,0.000207013,-1.02E-05,0.590195303,-0.029114118,0.774221654,0.762307925,-0.03760437,0.269957362
1981,1,16,38,0.000288358,0.000249154,0.590195303,0.509953063,0.774221654,0.762307925,0.658665461,0.269957362
1981,1,17,38,0.022907543,0.015221706,0.590195303,0.392175601,0.774221654,0.762307925,0.506541762,0.269957362
1981,1,18,38,0.092645601,0.110038556,0.590195303,0.700996461,0.774221654,0.762307925,0.905420892,0.269957362
1981,2,1,38,0.000872327,0.001224918,0.43405277,0.609495185,0.487107225,0.891082595,1.251254661,0.269957362
1981,2,2,19,0.042953154,0.042337811,0.43405277,0.427834571,0.487107225,0.891082595,0.87831703,0.269957362
1981,2,3,38,0.003563799,0.003223962,0.43405277,0.392662297,0.487107225,0.891082595,0.8061106,0.269957362
1981,2,4,38,0.001753967,0.00186237,0.43405277,0.46087905,0.487107225,0.891082595,0.946155233,0.269957362
1981,2,5,38,0.033730757,0.035876473,0.43405277,0.461664186,0.487107225,0.891082595,0.947767067,0.269957362
1981,2,6,38,0.13611154,0.137362566,0.43405277,0.438042228,0.487107225,0.891082595,0.899272698,0.269957362
1981,2,7,38,0.077852982,0.072935046,0.43405277,0.406633859,0.487107225,0.891082595,0.834793324,0.269957362
1981,2,8,38,0.107692249,0.091128731,0.43405277,0.367293638,0.487107225,0.891082595,0.754030363,0.269957362
1981,2,9,38,0.005862561,0.006260096,0.43405277,0.4634855,0.487107225,0.891082595,0.951506109,0.269957362
1981,2,10,19,0.006009516,0.005055334,0.43405277,0.365134547,0.487107225,0.891082595,0.749597889,0.269957362
1981,2,11,7.6,0.161222232,0.205099663,0.43405277,0.552182387,0.487107225,0.891082595,1.13359515,0.269957362
1981,2,12,38,0.05872092,0.057398959,0.43405277,0.424281111,0.487107225,0.891082595,0.871022004,0.269957362
1981,2,13,38,0.006982599,0.006753371,0.43405277,0.419803529,0.487107225,0.891082595,0.861829815,0.269957362
1981,2,14,19,0.013051837,0.009652452,0.43405277,0.3210026,0.487107225,0.891082595,0.658997822,0.269957362
1981,2,15,38,0.002257996,0.002263724,0.43405277,0.435153832,0.487107225,0.891082595,0.893343004,0.269957362
1981,2,16,38,0.014508133,0.015400394,0.43405277,0.460747334,0.487107225,0.891082595,0.945884829,0.269957362
1981,2,17,38,0.009347847,0.009629905,0.43405277,0.447149703,0.487107225,0.891082595,0.917969761,0.269957362
1981,2,18,38,0.005005888,0.004058258,0.43405277,0.351885234,0.487107225,0.891082595,0.722397895,0.269957362
1981,3,1,38,0.036780108,0.027294319,0.580008677,0.430421306,0.552956113,1.048923528,0.778400484,0.269957362
1981,3,2,38,0.001282171,0.000657115,0.580008677,0.297255364,0.552956113,1.048923528,0.537574967,0.269957362
1981,3,3,38,0.139568239,0.131685763,0.580008677,0.547251193,0.552956113,1.048923528,0.989682869,0.269957362
1981,3,4,38,0.007968751,0.007817127,0.580008677,0.568972659,0.552956113,1.048923528,1.028965311,0.269957362
