year,n_t,m_t,N_t
1981,178,306,0.581699346405229
1982,179,306,0.584967320261438
1983,185,306,0.604575163398693
1984,197,306,0.643790849673203
1985,184,306,0.601307189542484
1986,186,306,0.607843137254902
1987,193,306,0.630718954248366
1988,180,306,0.588235294117647
1989,175,306,0.571895424836601
1990,190,306,0.620915032679739
1991,198,324,0.611111111111111
1992,186,324,0.574074074074074
1993,202,324,0.623456790123457
1994,191,324,0.589506172839506
1995,172,324,0.530864197530864
1996,194,319,0.608150470219436
1997,186,319,0.58307210031348
1998,203,319,0.636363636363636
1999,197,319,0.617554858934169
2000,212,319,0.664576802507837
2001,190,319,0.595611285266458
2002,186,322,0.577639751552795
2003,166,322,0.515527950310559
2004,153,322,0.475155279503106
2005,154,322,0.478260869565217
2006,177,322,0.549689440993789
2007,181,322,0.562111801242236
2008,184,322,0.571428571428571
2009,175,322,0.543478260869565
2010,159,322,0.493788819875776
2011,169,322,0.524844720496894
2012,175,323,0.541795665634675
2013,165,323,0.510835913312694
2014,157,323,0.486068111455108
2015,140,323,0.43343653250774
2016,146,324,0.450617283950617
2017,165,307,0.537459283387622
2018,171,307,0.55700325732899
