pair,i,j,c_ij,model,SSE1,SSE2,SSE3,ok2,ok3
101,1,1,38,1,.0040686973604738,,,0,0
102,1,2,38,1,.0005077625836617,,,0,0
103,1,3,38,1,.0270507945514921,,,0,0
104,1,4,38,1,.0052768665644329,,,0,0
105,1,5,19,1,.0027616278479302,,,0,0
106,1,6,38,1,.0012350299119329,,,0,0
107,1,7,38,1,.000710226915127,,,0,0
108,1,8,38,1,2.53102308007e-06,,,0,0
109,1,9,38,1,2.91257059434e-06,,,0,0
110,1,10,38,1,.0081211681282989,,,0,0
111,1,11,38,1,6.89709811283e-06,,,0,0
112,1,12,38,1,.0166075337159747,,,0,0
113,1,13,19,1,.0005996893967313,,,0,0
114,1,14,38,1,.0002495414140844,,,0,0
115,1,15,38,1,6.85759440163e-06,,,0,0
116,1,16,38,1,9.24107646361e-07,,,0,0
117,1,17,38,1,.0017113675387945,,,0,0
118,1,18,38,1,.0025725302358773,,,0,0
201,2,1,38,1,.0000382503507306,,,0,0
202,2,2,19,1,.006032987491909,,,0,0
203,2,3,38,1,.0000260706781657,,,0,0
204,2,4,38,1,.0000841034656817,,,0,0
205,2,5,38,1,.0005735261334011,,,0,0
206,2,6,38,1,.0166707670555691,,,0,0
207,2,7,38,1,.0095439672502269,,,0,0
208,2,8,38,1,.0063474955482044,,,0,0
209,2,9,38,1,.0000676606770595,,,0,0
210,2,10,19,1,.0002033058863569,,,0,0
211,2,11,7.600000000000001,1,.0333267258029682,,,0,0
212,2,12,38,1,.0006728614084421,,,0,0
213,2,13,38,1,.0000351206359587,,,0,0
214,2,14,19,1,.0020288668320875,,,0,0
215,2,15,38,1,.0000495997616184,,,0,0
216,2,16,38,1,.0000266494505107,,,0,0
217,2,17,38,1,.0005403711507231,,,0,0
218,2,18,38,1,.0005149522755019,,,0,0
301,3,1,38,1,.0039405304156991,,,0,0
302,3,2,38,1,.0000460354187412,,,0,0
303,3,3,38,1,.0106429040137781,,,0,0
304,3,4,38,1,.0004108155003501,,,0,0
305,3,5,38,1,.0000278303696722,,,0,0
306,3,6,38,1,.000359891892464,,,0,0
307,3,7,38,1,.000041350426449,,,0,0
308,3,8,38,1,.0000445315315612,,,0,0
309,3,9,38,1,.0000330624571985,,,0,0
310,3,10,38,1,.000071539232411,,,0,0
311,3,11,38,1,.0000985859498825,,,0,0
312,3,12,38,1,.0000278737387525,,,0,0
313,3,13,38,1,.0027727871540379,,,0,0
314,3,14,38,1,.000278061498248,,,0,0
315,3,15,38,1,.0000389883030836,,,0,0
316,3,16,38,1,.0000146041632894,,,0,0
317,3,17,38,1,.0005115231211286,,,0,0
318,3,18,38,1,.0039936062598812,,,0,0
401,4,1,38,1,6.99174816750e-06,,,0,0
402,4,2,38,1,.0001952927695749,,,0,0
